"S.No","ID","Phase","Category","Milestone","Task","Description","Owner","Estimate (hours)","Dependencies","Status","Start Date","Target End Date","Notes","Labels"
"1","T-000","Phase 0: Planning","Planning","Planning","Project setup & planning","Finalize PRD/Dependencies/Arch/Quickstart/PDP and repo scaffolding; add Task Tracker","Platform","4","","Done","2025-08-04","2025-08-04","Initial commit pushed","planning;docs"
"2","T-005","Phase 0: Planning","Governance","Planning","Governance & standards","Define coding standards, conventional commits, branch strategy, CODEOWNERS, LICENSE","Platform","2","T-000","Todo","2025-08-05","2025-08-05","Create CODEOWNERS and LICENSE","governance;docs"
"3","T-010","Phase 1: Local Stack","Compose","M1","Compose skeleton","Create compose/docker-compose.yml for gateway, opa, db; verify docker compose config","Platform","3","","Done","2025-08-04","2025-08-04","Compose file created","compose;local"
"4","T-015","Phase 1: Local Stack","DevX","M1","Makefile","Add make targets: up/down/logs/test/policy-test/db-migrate","Platform","2","T-010","Todo","2025-08-05","2025-08-05","Improves local workflow","developer-experience;compose"
"5","T-020","Phase 1: Local Stack","Config","M1","Env example","Add compose/.env.example with required vars (issuer, jwks, db, ports)","Platform","1","T-010","Done","2025-08-04","2025-08-04","Sample .env prepared","config;local"
"6","T-025","Phase 1: Local Stack","Docs","M1","Health endpoints doc","Document health endpoints and checks in Quickstart","Docs","1","T-010","Done","2025-08-04","2025-08-04","Included in QUICKSTART.md","docs;health"
"7","T-030","Phase 1: Local Stack","OPA","M1","OPA base container","Add OPA service and mount policies; health check works","Platform","2","T-010","Done","2025-08-04","2025-08-04","OPA service running in compose","opa;local"
"8","T-035","Phase 1: Local Stack","OPA","M1","Policy contract","Define OPA input contract (user, roles, scopes, resource, labels, env, network)","Policy","2","T-030","Done","2025-08-04","2025-08-04","Documented in PRD/PDP","opa;design"
"9","T-040","Phase 1: Local Stack","Database","M1","DB init","Add Postgres service and services/storage/init.sql; verify tables","Platform","2","T-010","Done","2025-08-04","2025-08-04","Init SQL and container ready","database;local"
"10","T-045","Phase 1: Local Stack","Security","M1","Local secrets strategy","Decide local secret handling (.env, .env.local, sample values)","Security","1","T-020","Todo","2025-08-05","2025-08-05","No secrets in repo; samples only","security;secrets"
"11","T-060","Phase 1: Local Stack","Docs","M1","Docs baseline","Ensure PRD, Dependencies, Architecture, Quickstart, PDP are current","Docs","2","T-010","Done","2025-08-04","2025-08-04","Updated to v0.2 cloud-ready","docs"
"12","T-100","Phase 2: AuthZ & Policy","OPA","M2","Policy baseline","Write services/opa/policies/mcp/authz.rego (deny-by-default, admin allow, tool:action scope)","Policy","3","T-030","Done","2025-08-04","2025-08-04","Initial allow rules present","opa;rbac"
"13","T-110","Phase 2: AuthZ & Policy","Testing","M2","Policy tests","Add tests/policies/*.rego: admin allow, correct scope allow, missing scope deny","Policy","3","T-100","Todo","2025-08-05","2025-08-05","Test coverage for core rules","opa;tests"
